host,listOfDetections,count
198.7.61.47,0,0
198.7.61.48,0,0
199.101.145.58,0,0
199.204.72.170,0,0
199.204.72.173,0,0
199.204.74.66,0,0
199.204.74.67,0,0
199.204.74.68,0,0
199.204.74.71,0,0
199.204.74.72,0,0
199.204.74.73,0,0
199.204.74.78,0,0
1991374732-6.headexclusive.uni.me,0,0
1a14980.dyndns.info,0,0
1a28521.dyndns.info,0,0
1a36601.dyndns.info,[u'BitDefender'],1
1cedilyutra.info,0,0
1mm.from-ny.net,"[u'BitDefender', u'BrowserDefender']",2
1q2w.org,[u'GoogleSafeBrowsing'],1
1swansenaccourut.deceptionprofessional.com,[u'BitDefender'],1
1u8k56yvkx1h0qqdb1bl8wj.fm.gen.tr,[u'BitDefender'],1
1wand-reissmerin.crearmsn.org,[u'BitDefender'],1
1z.lapa4ka.in,0,0
2-k-13.info,"[u'MyWOT', u'BitDefender', u'hpHosts']",3
200.46.204.8,0,0
20039.r.gd,"[u'MyWOT', u'BitDefender', u'BrowserDefender']",3
20044.r.gd,"[u'MyWOT', u'BitDefender', u'BrowserDefender']",3
20098.r.gd,"[u'MyWOT', u'SCUMWARE', u'BitDefender', u'BrowserDefender']",4
20108.r.gd,"[u'MyWOT', u'BitDefender', u'BrowserDefender']",3
201215.bsju.vxfz.sxhrxkbinrpx.cuttingpain.pw,0,0
2012ye.net,0,0
2013.kz.xhgrpqrh.leadedthinks.pw,0,0
201419.hnbp.ms.xdsszqwecnu.floatssouthern.pw,0,0
204.188.235.226,0,0
204.188.235.250,0,0
205.164.5.165,0,0
208.131.138.217,0,0
208.94.241.16,0,0
2099891781-15.aminrefundable.uni.me,0,0
21.cedrictherealtor.com,[u'MyWOT'],1
211.234.97.56,0,0
212.38.166.12,0,0
212.38.166.243,0,0
212.38.166.50,0,0
212.38.166.94,0,0
212.85.116.21,0,0
213.186.59.112,0,0
213.5.176.130,0,0
213.5.176.152,0,0
213sdlknboiejglksh.tk,0,0
216.155.145.100,0,0
216.155.145.102,0,0
216.155.145.103,0,0
216.155.145.106,0,0
216.155.145.107,0,0
216.155.145.108,0,0
216.155.145.110,0,0
216.172.154.248,0,0
216.55.167.56,0,0
216.99.152.13,0,0
219.235.1.127,0,0
222.255.28.16,0,0
223.26.55.97,0,0
23.buliata.com,[u'GoogleSafeBrowsing'],1
23.mylocalreports.org,0,0
23.proautorepairdenver.com,"[None, u'GoogleSafeBrowsing', u'DNS-BH']",3
233.7f.3d2cb.74101.35b.df754.97cef7.23.b.befuclxr.grosssalbum.in,[u'BitDefender'],1
24.dallasbodysculpt.com,[u'GoogleSafeBrowsing'],1
2404463160-6.rnstrtling.co7.us,0,0
241614.wcj.ph.thvsrkgj.coboltonik.in,0,0
2496128308-6.focondteavrt.ru,"[u'BitDefender', u'GoogleSafeBrowsing']",2
25.dynamicmobility.net,"[u'MyWOT', u'SCUMWARE']",2
2505254263-16.carstartling.co.vu,[u'BitDefender'],1
2738439018-6.karlity.ru,[u'BitDefender'],1
2795887027-6.haviewer.ru,[u'BitDefender'],1
295rvr118otugbypu8iydip.carbonfiberwheels.co.uk,0,0
2hkjhgxfgx.org,0,0
2mfrance.fr,0,0
2ovoifou.adsforcorpcpm.pw,"[u'BitDefender', u'GoogleSafeBrowsing']",2
2walls.info,"[u'MyWOT', u'SURBL', u'DNS-BH', u'DShield']",4
30domaaaam.in,"[u'MyWOT', u'SCUMWARE', None, u'SURBL']",4
31.184.244.22,0,0
31.210.44.251,0,0
31.43.58.5,0,0
310video.c01.at,0,0
3169146962,0,0
3283637823,0,0
337.servebbs.com,[u'BitDefender'],1
3597895608-17.carsturdy.co.vu,0,0
360abroad.com,0,0
3680138830,0,0
3698336817,0,0
37.157.254.239,0,0
37.157.255.11,0,0
37.157.255.15,0,0
37.157.255.151,0,0
37.157.255.152,0,0
37.157.255.160,0,0
37.157.255.162,0,0
37.157.255.165,0,0
37.157.255.166,0,0
37.157.255.170,0,0
37.157.255.183,0,0
37.157.255.184,0,0
37.157.255.186,0,0
37.157.255.19,0,0
37.157.255.190,0,0
37.157.255.198,0,0
37.157.255.199,0,0
37.157.255.200,0,0
37.157.255.35,0,0
37.157.255.40,0,0
37.157.255.51,0,0
37.157.255.53,0,0
37.157.255.59,0,0
37.157.255.60,0,0
37.157.255.61,0,0
37.157.255.62,0,0
37.157.255.64,0,0
37.157.255.65,0,0
37.59.136.60,0,0
37.59.139.218,0,0
37.59.139.220,0,0
37.59.139.221,0,0
37.59.139.222,0,0
37.59.177.205,0,0
37.59.198.194,0,0
37.9.53.84,0,0
37.9.53.86,0,0
3855223000-6.choicor.ru,[u'BitDefender'],1
3dimap.co.uk,[u'BitDefender'],1
3retrian.3d-game.com,"[u'MyWOT', u'BitDefender']",2
4120219704-6.barerxes.ru,0,0
436sfdh.getmemoretraffff.info,[u'GoogleSafeBrowsing'],1
442062344-5.feathusavrt.ru,"[u'BitDefender', u'GoogleSafeBrowsing']",2
45f9bb1367ced798832305.serveftp.net,[u'BitDefender'],1
45h.r.gd,"[u'MyWOT', u'BitDefender', u'BrowserDefender']",3
46.119.206.161,0,0
46.119.235.150,0,0
46.16.240.18,0,0
46.166.169.188,0,0
46.166.177.124,0,0
46.182.30.59,0,0
46.183.217.137,0,0
46.250.101.224,0,0
46.28.107.175,0,0
46.30.41.249,0,0
46.30.43.17,0,0
46.4.179.134,0,0
46.4.74.43,0,0
4774.mycaniev.com,0,0
49228f20b0.foxenovyr.pro,[u'BitDefender'],1
4allcolours.be,0,0
4mm.from-ny.net,"[u'BitDefender', u'BrowserDefender']",2
