"94.23.76.187","45","Bkav,MicroWorld-eScan,nProtect,CAT-QuickHeal,McAfee,Malwarebytes,TheHacker,K7GW,K7AntiVirus,NANO-Antivirus,F-Prot,Symantec,Norman,TotalDefense,TrendMicro-HouseCall,Avast,Kaspersky,BitDefender,Agnitum,Ad-Aware,Sophos,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Emsisoft,Jiangmin,Antiy-AVL,Kingsoft,Microsoft,SUPERAntiSpyware,GData,Commtouch,AhnLab-V3,VBA32,PCTools,ESET-NOD32,Ikarus,Fortinet,AVG,Panda,Qihoo-360"
"cfyugjt.dynamicdns.me.uk","21","Bkav,DrWeb,AntiVir,TrendMicro,McAfee-GW-Edition,Sophos,McAfee,Microsoft,Norman,GData,Symantec,AhnLab-V3,ESET-NOD32,TrendMicro-HouseCall,Avast,Kaspersky,NANO-Antivirus,Ikarus,Fortinet,AVG,Comodo"
"muchachazz.com","38","Bkav,MicroWorld-eScan,nProtect,CAT-QuickHeal,McAfee,K7AntiVirus,TheHacker,NOD32,Symantec,Norman,TrendMicro-HouseCall,Avast,Kaspersky,BitDefender,ViRobot,Ad-Aware,Emsisoft,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Sophos,Jiangmin,Antiy-AVL,Microsoft,SUPERAntiSpyware,GData,AhnLab-V3,VBA32,Tencent,Ikarus,Fortinet,AVG,Panda,Qihoo-360"
"form-co.fr","49","Bkav,MicroWorld-eScan,nProtect,K7AntiVirus,Agnitum,F-Prot,Norman,Kaspersky,F-Secure,TrendMicro,McAfee-GW-Edition,Sophos,Jiangmin,Commtouch,AhnLab-V3,VBA32,ESET-NOD32,Rising,Ikarus,Fortinet,Panda,Qihoo-360,CMC,CAT-QuickHeal,McAfee,Malwarebytes,K7GW,TheHacker,Symantec,TotalDefense,TrendMicro-HouseCall,Avast,ClamAV,BitDefender,NANO-Antivirus,Ad-Aware,Comodo,DrWeb,VIPRE,AntiVir,Emsisoft,Antiy-AVL,Kingsoft,Microsoft,SUPERAntiSpyware,GData,ByteHero,AVG,Baidu-International"
"mdkjnnqx8iekt4lqh8ll6mp.guzellik.pro","14","AntiVir,TrendMicro,ESET-NOD32,TrendMicro-HouseCall,Sophos,Avast,Kaspersky,NANO-Antivirus,Ikarus,K7AntiVirus,AVG,K7GW,Microsoft,Qihoo-360"
"deffile.org","54","Bkav,MicroWorld-eScan,nProtect,CMC,CAT-QuickHeal,McAfee,TheHacker,K7GW,K7AntiVirus,VirusBuster,NOD32,F-Prot,Symantec,Norman,TotalDefense,TrendMicro-HouseCall,Avast,eSafe,Kaspersky,BitDefender,NANO-Antivirus,ViRobot,Rising,Ad-Aware,Sophos,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Emsisoft,eTrust-Vet,Jiangmin,Panda,Antiy-AVL,Kingsoft,Agnitum,Microsoft,SUPERAntiSpyware,AhnLab-V3,GData,Commtouch,ByteHero,VBA32,PCTools,ESET-NOD32,Tencent,Ikarus,Fortinet,AVG,Baidu-International,Qihoo-360"
"www.gkfjdnzx.com","40","MicroWorld-eScan,nProtect,CAT-QuickHeal,McAfee,TheHacker,K7AntiVirus,Agnitum,F-Prot,Symantec,Norman,ESET-NOD32,TrendMicro-HouseCall,Avast,ClamAV,Kaspersky,BitDefender,NANO-Antivirus,Sophos,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Emsisoft,Jiangmin,Antiy-AVL,Kingsoft,Microsoft,ViRobot,GData,Commtouch,AhnLab-V3,VBA32,PCTools,Rising,Ikarus,AVG,Panda"
"www.yourbankdidwhat.com","27","F-Secure,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,MicroWorld-eScan,Emsisoft,nProtect,CAT-QuickHeal,McAfee,Kingsoft,K7AntiVirus,Agnitum,GData,Norman,ESET-NOD32,VBA32,TrendMicro-HouseCall,Avast,ClamAV,Kaspersky,BitDefender,NANO-Antivirus,Ikarus,Fortinet,AVG,Panda"
"iqop93ya.info","34","MicroWorld-eScan,CAT-QuickHeal,McAfee,Malwarebytes,K7AntiVirus,K7GW,F-Prot,Symantec,Norman,ESET-NOD32,TrendMicro-HouseCall,Avast,Kaspersky,BitDefender,Agnitum,Sophos,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Emsisoft,Microsoft,GData,Commtouch,AhnLab-V3,VBA32,PCTools,Ikarus,Fortinet,AVG,Panda"
"c3w1bq.com","42","Bkav,MicroWorld-eScan,nProtect,CAT-QuickHeal,McAfee,K7AntiVirus,VirusBuster,NOD32,F-Prot,Symantec,Norman,ByteHero,TrendMicro-HouseCall,Avast,eSafe,Kaspersky,BitDefender,Rising,Ad-Aware,Sophos,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Emsisoft,eTrust-Vet,Antiy-AVL,Microsoft,GData,Commtouch,AhnLab-V3,VBA32,PCTools,Tencent,Ikarus,Fortinet,AVG,Panda,Qihoo-360"
"admin.seasovonejeaakkin.org","38","MicroWorld-eScan,nProtect,CAT-QuickHeal,McAfee,Malwarebytes,K7AntiVirus,K7GW,TheHacker,Agnitum,Symantec,Norman,ESET-NOD32,TrendMicro-HouseCall,Avast,Kaspersky,BitDefender,NANO-Antivirus,Ad-Aware,Emsisoft,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Sophos,Antiy-AVL,Microsoft,GData,TotalDefense,VBA32,Baidu-International,Ikarus,Fortinet,AVG,Panda,Qihoo-360"
"199.204.74.67","35","Bkav,MicroWorld-eScan,McAfee,Malwarebytes,K7AntiVirus,K7GW,Agnitum,Symantec,Norman,ESET-NOD32,TrendMicro-HouseCall,Avast,Kaspersky,BitDefender,NANO-Antivirus,Ad-Aware,Emsisoft,Comodo,F-Secure,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Sophos,Kingsoft,Microsoft,GData,AhnLab-V3,Panda,Rising,Ikarus,Fortinet,AVG,Baidu-International,Qihoo-360"
"199.204.74.66","31","Bkav,MicroWorld-eScan,McAfee,Malwarebytes,Symantec,Norman,ESET-NOD32,TrendMicro-HouseCall,Avast,Kaspersky,BitDefender,Agnitum,Ad-Aware,Sophos,Comodo,F-Secure,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Emsisoft,Kingsoft,Microsoft,GData,AhnLab-V3,Panda,Rising,Ikarus,Fortinet,AVG,Baidu-International"
